timestamp_utc,broker,symbol,bid,ask,spread,unit,feed_type,source
2026-09-11T05:48:45.530Z,dukascopy,GBPUSD,1.35115,1.35124,0.9,pips,unspecified,broker-published
2026-09-11T05:48:53.042Z,dukascopy,GBPUSD,1.35115,1.35124,0.9,pips,unspecified,broker-published
2026-09-11T05:49:00.642Z,dukascopy,GBPUSD,1.35109,1.35117,0.8,pips,unspecified,broker-published
2026-09-11T05:49:08.134Z,dukascopy,GBPUSD,1.3511,1.35118,0.8,pips,unspecified,broker-published
2026-09-11T05:49:18.873Z,dukascopy,GBPUSD,1.35113,1.3512,0.7,pips,unspecified,broker-published
2026-09-11T05:49:27.586Z,dukascopy,GBPUSD,1.35115,1.35121,0.6,pips,unspecified,broker-published
2026-09-11T05:49:34.885Z,dukascopy,GBPUSD,1.35118,1.35124,0.6,pips,unspecified,broker-published
2026-09-11T05:49:42.699Z,dukascopy,GBPUSD,1.35118,1.35123,0.5,pips,unspecified,broker-published
2026-09-11T05:49:50.178Z,dukascopy,GBPUSD,1.35115,1.35121,0.6,pips,unspecified,broker-published
2026-09-11T05:49:58.102Z,dukascopy,GBPUSD,1.35119,1.35124,0.5,pips,unspecified,broker-published
2026-09-11T05:50:05.565Z,dukascopy,GBPUSD,1.35116,1.35122,0.6,pips,unspecified,broker-published
2026-09-11T05:50:12.899Z,dukascopy,GBPUSD,1.35118,1.35123,0.5,pips,unspecified,broker-published
